,bankindex,pufa,huaxia,minsheng,zhaoshang,nanjing,xingye,beijing,nongye,jiaotong,gongshang,guangda,jianshe,zhongguo,zhongxin,pingan,ningbo
2015/4/1,3371.2,15.95,12.97,9.76,15.73,14.93,18.39,10.94,3.69,6.43,4.89,4.83,6.15,4.41,7.41,15.96,17.9
2015/4/2,3352.17,16.18,13.06,9.67,15.66,14.89,18.12,10.89,3.65,6.38,4.85,4.81,6.11,4.36,7.35,15.8,17.86
2015/4/3,3376.54,16.2,13.24,9.72,15.66,15,18.65,11.07,3.66,6.4,4.87,4.83,6.12,4.37,7.39,15.85,18.17
2015/4/7,3478.23,16.71,13.71,9.94,15.66,15.6,19.79,11.27,3.77,6.55,5,5.05,6.28,4.47,7.61,16.81,18.55
2015/4/8,3556.48,17.02,13.96,10.12,15.66,16.03,20.47,11.75,3.81,6.68,5.04,5.25,6.36,4.53,7.84,17.92,19.59
2015/4/9,3523,16.87,13.96,10.05,15.66,15.77,19.83,11.62,3.77,6.63,5.03,5.15,6.38,4.49,7.69,18,19.44
2015/4/10,3618.02,17.53,14.59,10.28,15.66,16.17,20.39,11.97,3.81,6.78,5.1,5.34,6.49,4.56,7.84,19.8,19.98
2015/4/13,3732.56,18.03,14.87,10.44,17.23,16.33,20.69,12.31,3.92,6.93,5.32,5.45,6.95,4.68,8,16.54,20.03
2015/4/14,3696.54,17.89,15.34,10.27,17.48,16.09,20.17,12.05,3.87,6.84,5.26,5.45,6.91,4.63,7.86,16.3,19.45
2015/4/15,3767.68,17.96,16.87,10.56,17.87,16.55,20.05,12.59,3.9,7,5.43,5.45,7.04,4.71,7.93,16.65,19.4
2015/4/16,3879.22,18.65,17.16,10.99,18.81,16.78,20.54,12.68,3.97,7.16,5.62,5.59,7.2,4.8,8.28,17,19.53
2015/4/17,3875.08,18.6,16.88,10.93,18.32,16.85,20.56,12.66,4.03,7.23,5.64,5.61,7.19,4.93,8.27,16.93,19.8
2015/4/20,3718.36,17.9,16.17,10.45,17.81,16.01,19.46,12.07,3.95,6.9,5.42,5.36,6.84,4.74,7.93,16.3,19.07
2015/4/21,3774.93,18.16,16.51,10.73,18.17,16.24,19.75,12.28,3.99,6.98,5.44,5.41,6.91,4.78,8.03,16.56,19.38
2015/4/22,3848.22,18.5,16.69,10.87,18.41,16.8,20.7,12.43,4.04,7.11,5.52,5.48,7,4.86,8.19,16.95,19.74
2015/4/23,3791.23,18.22,16.64,10.69,18.17,16.87,20.15,12.24,4.01,7,5.48,5.39,6.9,4.8,8.05,16.66,19.35
2015/4/24,3681.81,17.68,16.12,10.43,17.7,16.33,19.34,11.93,3.92,6.81,5.33,5.21,6.71,4.66,7.89,16.14,18.82
