,浙江,云南,新疆,西藏,四川,陕西,山西,山东,青海,宁夏,内蒙,辽宁,江西,湖南,湖北,北京,海南,贵州,广西,甘肃,福建,安徽,上海,重庆,江苏,广东,河北
2015-01-31,83710.69771,22427.61399,15235.01604,3198.578596,51726.89004,28480.87,27245.77,67166.55,4527.441744,4277.074,16269.1847,41186,21943.39,30630.35082,38447.79,91532.33511,6364.50208,15416.61322,20100.60069,14395.4432,30536.82864,30452.01,69437.51637,25072.6476,97876.15507,121876.1533,43930.27727
2015-02-28,82758.95702,22244.55018,15074.86674,3201.669966,52124.77603,28441.44,27130.83,67175.68,4468.7063,4266.279348,16223.872,41240,22328.69,31129.40595,39009.29,91080.45668,6257.98207,15392.61179,20179.20895,14404.9977,30729.54257,31244.46,68300.94528,25351.36979,98797.17378,120179.8064,44388.8021
2015-03-31,84367.2467,22642.2359,15262.32623,3204.761336,52786.31737,28996.89,27622.81,68895.42,4572.8873,4398.1238,16367.8115,41792,22834.92,31935.04003,40187.87,92090.81968,6433.464389,15847.41207,20791.41953,14885.1487,30947.75429,31957.36,69858.81208,25509.16717,100946.7712,123042.52,45238.27638
2015-04-30,84118.76965,22456.0415,15131.64516,3207.852706,52391.50024,28661.22,27212.4,68403.63,4499.923871,4395.5403,16177.4291,41661,22443.98,31729.5655,39366.66,92928.63481,6427.91348,15888.15573,20398.43366,14782.3128,31054.44905,31901.92,70074.57687,25704.50856,99851.52528,121954.1413,44922.82536
2015-05-31,84782.22004,22564.07486,15356.56546,3257.859401,52518.46034,29066.41,27269.27,68798.36,4596.624,4447.0834,16651.456,42038,22472.34,31939.49364,39467.3,94271.35645,6600.627166,16115.12062,20580.39441,15065.1252,31654.31748,32197.49,70700.75685,25910.02,100749.1132,122516.2714,45493.39
2015-06-30,87479.60856,23251.10022,15849.19251,3320.337382,53737.67364,29781.91,27613.46,70611.17,4688.9765,4591.316,16813.6971,43085,23321.58,32624.24895,40844.07,95874.47031,6831.52647,16734.4578,21098.91338,15333.62,32166.33832,32972.48,71326.93683,26404.39521,102971.487,125462.5177,47077.10908
2015-07-31,87587.73184,23191.82475,15692.75059,3427.588753,54207.54116,29721.7,27407.48,70464.43,4823.697,4609.009,16894.8209,42872,22921.64,33046.1126,40698.64,97927.24648,6746.700332,17172.70693,21449.64202,15457.6305,32379.7151,32855.23,71953.11681,26566.27895,101690.8561,125402.4237,46816.83998
2015-08-31,87686.62617,23493.77541,15966.25326,3471.768345,54585.58328,29987.09,27750.69,70834.29,5048.3742,4642.0271,16717.0164,43372,23229.03,33378.59993,41203.39,99935.70158,6800.433338,17394.18488,21980.50663,15764.8707,32886.06184,33306.44,72579.29679,27236.07417,102345.7585,127260.8381,47279.724
2015-09-30,88484.84035,23916.58593,16563.24526,3473.378505,55041.84012,30732.41,27950.04,71786.3,5102.7345,4647.7803,17225.0506,43328,23396.64,33651.2117,41414.43,99275.41066,6844.363616,18077.90514,22282.32322,15857.03,33210.04708,33427.67,73205.47677,27167.64217,103438.8763,128394.8908,48400.60324
2015-10-31,88369.40724,23913.53432,16713.06237,3568.197997,55674.39896,30541.71,27908.32,71450.93,5069.5965,4677.5757,17135.4621,42893,23734.85,33936.29773,41401.7,100464.2039,7010.26227,18207.64155,22096.0158,15995.2295,33061.33462,33989.52,72910.03394,27094.32518,102659.8909,128090.8159,48139.61546
2015-11-30,88758.27334,24539.40763,16838.29418,3558.022421,55721.79029,31181.17,28449.91,71376.18,5036.4892,4810.6344,17190.5485,43091,23797.16,34454.9866,41461.67,100532.6268,7094.97457,18770.34252,22022.29202,15876.1852,33288.84106,34061.03,73597.06696,27279.73167,104538.8145,129736.6148,48134.82778
2015-12-31,90301.61351,24623.23726,16855.30608,3666.427342,56212.84744,31332.92,28108.92,71508.7,5180.5729,4794.8174,17542.9992,44280,24069.42,34812.22619,41315.9,100682.5599,7317.853332,18908.93054,22093.13534,15967.7648,33754.38993,33979.99,75274.26349,27120.6902,103589.1943,130444.2294,48182.78296
2016-01-31,91997.62084,24478.9713,16894.1101,3639.334775,57075.74473,31873.03,28522.22,72760.84,5420.2971,4927.5891,17805.9761,44380,24764.76,36101.63497,43034.38,100433.1518,7422.433749,19661.19895,22400.10788,16091.99562,34209.60641,35116.35,76951.46002,27875.96259,111120.5095,133209.9852,49170.20806
2016-02-29,91599.30075,24374.5186,16816.84849,3575.524875,57743.53497,31844.73,28460.88,73105.04,5272.3078,4928.714,17767.7628,44339,25193.12,36821.94938,44297.915,99738.20596,7405.679567,19690.99267,22545.37991,16195.52717,34398.60929,36085.22,76127.28019,27939.20787,111651.3602,132822.1811,49838.16376
2016-03-31,93430.97091,24926.0502,17260.8464,3673.766242,59220.61164,32495.12,29079.87,76088.99,5420.2971,5043.388505,18660.0738,45779,26211.28,37759.48063,45561.45,103482.0731,7626.340223,20099.07381,23595.09673,16689.371,34702.65074,37009.09,77460.99531,28832.68134,115466.9042,136682.5126,50959.45512
2016-04-30,93524.04794,25124.063,17481.91322,3821.536861,59030.31248,32666.85,29169.81,76522.6,5594.0451,5042.689349,18715.5108,45450.1,26172.38,37886.81644,45269.45477,103579.0437,7665.6,21005.01196,23307.94953,16930.47781,34676.66765,37111.53,77981.45153,28960.21352,114714.2913,137581.1435,51485.41651
2016-05-31,93849.80717,25703.1209,17459.67382,3840.947974,59800.91527,32868.6,29430.37,76887.11,5582.3707,5086.094692,18945.6733,45492.2,26327.93,38442.12845,45787.66017,105488.6426,7806.200069,20965.3346,23566.597,16921.63014,34757.15351,37334.57,78488.64514,28978.13265,115374.1861,139117.471,51817.04866
2016-06-30,95065.97351,26202.1464,17941.0023,4027.567442,60984.66967,33143.05,29813.34,78346.44,5655.5332,5222.415654,19515.5421,46101.6,26902.7,39581.83172,46695.40805,107482.6607,7908.543864,21511.72225,24233.14305,17176.11992,35438.71759,37970.43,78998.44747,29781.84478,117157.195,142144.3257,52923.86828
2016-07-31,94761.77163,26012.7159,18119.88391,4259.448666,60977.35575,32951.8,29743.71,77855.73,5700.3355,5215.259783,19591.3908,46490.4,26949.99,39264.83349,46596.22061,107327.2951,7840.803501,22059.90883,24053.74432,16907.58531,35264.26464,39376.76,79460.22949,29466.56007,115766.3603,142090.8408,53044.74123
2016-08-31,96119.64517,26417.3638,18404.82702,4355.76283,62058.35024,33359.9,29955.85,78595.6,5660.5962,5238.738968,19797.9284,46641.8,27225.23,39950.68377,46926.62806,110001.449,8115.191342,22377.05993,24256.64491,16887.43039,36631.87343,39781.07,80395.03239,30133.08923,117561.4045,145525.571,53738.69891
2016-09-30,96899.58479,26603.8436,18654.67434,4329.449513,62338.01648,33791.26,30174.14,79366.11,5672.155,5312.3408,20060.0685,47132.5,27452.14,40023.15922,47206.02451,110310.451,8105.793818,23061.70923,24508.96945,16997.28527,36843.52907,40236.73,81448.73642,30097.52569,118001.9321,147558.9825,54105.46452
